,id,tconst,release_date,revenue,budget
141,755,tt0116367,1996-01-19,25836616,19000000
142,262904,tt2388558,2014-04-09,0,0
143,525058,tt8431378,2018-05-13,0,0
144,786,tt0181875,2000-09-15,47386287,60000000
145,797,tt0060827,1966-10-18,0,0
146,131880,tt1562450,2010-06-16,0,0
147,525097,tt5932502,2017-06-06,0,0
148,131885,tt1855324,2013-04-27,0,0
149,262958,tt3110960,2014-05-30,4825184,0
150,525102,tt3115906,2018-05-01,0,1000000
151,394045,tt3074546,2016-06-07,0,0
152,830,tt0049223,1956-03-23,3250000,1900000
153,394047,tt4063178,2016-07-08,0,2000000
154,394048,tt3070922,2016-04-22,0,0
155,262982,tt2918606,2016-12-16,1271880,0
156,839,tt0067023,1971-11-13,0,450000
157,840,tt0075860,1977-11-18,306889114,20000000
158,394058,tt15012462,2016-04-26,0,0
159,131916,tt1833879,2012-09-09,0,0
160,394061,tt4462166,2016-04-29,0,0
161,394062,tt5757520,2016-04-29,0,0
162,394063,tt5708154,2016-04-30,0,0
163,525135,,2017-01-01,0,0
164,862,tt0114709,1995-10-30,373554033,30000000
165,863,tt0120363,1999-10-30,497366869,90000000
166,525151,tt4438098,2017-01-21,0,0
167,263009,tt2343086,2012-09-07,0,1600
168,131953,tt2284808,2012-08-02,0,0
169,887,tt0036868,1946-12-25,23650000,2100000
170,394109,tt3969688,2016-02-26,0,0
171,394115,tt3521148,2014-10-16,0,0
172,394116,tt1704721,2015-11-24,0,0
173,394117,tt5649144,2017-10-06,11303040,2000000
174,525190,tt7044478,2017-07-15,0,0
175,525213,tt7948540,2018-07-21,0,0
176,525222,tt4597248,2016-01-01,0,0
177,132020,tt1626240,2010-11-15,0,0
178,394170,tt5644726,2016-05-04,67054,0
179,394176,tt5628044,2016-04-26,0,0
180,263105,tt3007302,2015-02-06,0,0
181,132036,tt2704650,2012-12-11,0,0
182,263109,tt2872750,2015-02-05,106209378,25000000
183,263111,tt3481550,2014-04-27,0,0
184,394185,tt2076826,2016-10-10,0,0
185,263114,tt2087937,2013-09-17,0,0
186,263115,tt3315342,2017-02-28,619021436,97000000
187,986,tt0059012,1965-03-16,0,800000
188,132059,tt2584514,2012-09-07,0,0
189,991,tt0074851,1976-03-18,0,1500000
190,132064,tt1711018,2011-08-25,0,0
191,132066,tt2116909,2012-09-25,0,0
192,263138,tt2319947,2014-02-02,0,0
193,394223,tt5344794,2016-04-03,0,0
194,132080,,2012-09-04,0,0
195,525309,tt1693641,2010-10-26,0,0
196,132097,,2012-01-01,0,0
197,132099,tt2341985,2012-04-07,0,1000000
198,263183,tt3121122,2013-12-01,0,0
199,132114,tt2367036,2012-03-09,0,0
200,394269,tt5662106,2016-04-23,0,0
201,132131,tt0342717,2011-10-21,0,0
202,132137,tt1987028,2012-10-09,0,5000000
203,525355,tt3909374,2015-06-19,0,0
204,263220,tt0075981,1977-03-13,0,0
205,132156,tt2213346,2012-09-18,0,0
206,394331,tt3900174,2014-06-03,0,70000
207,263281,tt3013588,2014-04-02,0,0
208,132210,tt2402582,2012-08-21,0,0
209,394360,tt2329110,2013-09-21,0,3448
210,394374,tt5133308,2016-04-21,0,0
211,132232,tt2023587,2013-01-17,146497771,15000000
212,525452,tt8039362,2018-06-02,0,0
213,525453,tt8231086,2018-06-09,0,0
214,525454,tt7997256,2019-08-27,0,0
215,132239,tt1687903,2010-06-12,0,0
216,525455,tt7936538,2018-08-11,0,0
217,525456,tt8430044,2018-06-16,0,0
218,525457,tt8452534,2018-05-24,0,0
219,525460,tt6829180,2018-11-16,0,0
220,132250,tt1313244,2012-10-02,0,0
221,394399,tt5837408,2016-04-21,0,0
222,525482,tt3910416,2017-03-22,0,0
223,263341,tt2652118,2016-02-18,0,20000000
224,132275,tt1592531,2010-09-25,0,0
225,394423,tt4916682,2015-12-01,0,0
226,132281,tt1071783,2010-01-01,0,0
227,394433,tt5661506,2016-04-24,0,0
228,394435,tt4527254,2016-03-17,0,0
229,132313,tt2322457,2012-04-16,0,0
230,132316,tt2176013,2012-11-13,0,0
231,525554,tt7816392,2018-08-22,0,3383890
232,132342,tt2387513,2013-09-09,0,50000000
233,132344,tt2209418,2013-04-05,11176469,3000000
234,263416,tt1663222,2014-04-15,0,500000
235,394493,tt3963812,2016-04-10,0,90000
236,394499,tt5708172,2016-06-30,0,840000
237,132363,tt1327773,2013-08-16,115922175,25000000
238,132372,tt2047915,2011-05-08,0,0
239,132386,tt1776077,2012-09-05,0,0
240,394537,tt5126922,2017-12-08,0,0
241,263472,tt3605418,2015-06-26,6341684,2500000
242,525619,tt8343312,2018-05-11,0,0
243,394549,,2016-04-24,0,0
244,394552,tt2890572,2016-04-15,0,0
245,263484,tt3578794,2014-04-06,0,0
246,263485,,2010-08-31,0,0
